timestamp,sent_mbps,retransmits,cpu_load,total_time
20210406-125755,15.075103579969,4,0.073372,32.03273296356201
20210406-125857,15.039442088494999,426,0.128821,31.926045179367065
20210406-125959,15.277223280753,9,0.066818,31.803521871566772
20210406-130101,14.557566764955,1459,0.154513,30.88533854484558
20210406-130201,15.265816057984,790,0.12648,31.282054662704468
20210406-130303,15.474401725523,13,0.07102,31.41222882270813
20210406-130404,15.26328903969,9,0.067727,32.128676891326904
20210406-130507,14.137652507189,16,0.165136,31.631094217300415
20210406-130608,14.68010411431,12,0.07023,30.858509302139282
20210406-130709,15.073026013692001,590,0.126413,31.925158262252808
