timestamp,sent_mbps,retransmits,cpu_load,total_time
20210406-131550,15.001838534144,9,0.068475,31.882081270217896
20210406-131651,15.091484263548,947,0.133864,31.92405366897583
20210406-131753,14.728997745766002,400,0.176453,31.9930522441864
20210406-131856,14.232855595551,499,0.120607,31.143672943115234
20210406-131957,14.816871800776,653,0.138813,31.88142967224121
20210406-132059,14.53404800971,371,0.123518,31.083898067474365
20210406-132200,15.009089004331999,389,0.124213,31.243666172027588
20210406-132301,14.274826112862,10,0.082037,32.0443012714386
20210406-132403,13.453066028755,3,0.118902,31.995243787765503
20210406-132505,13.898815763981,1,0.062562,32.3597207069397
