timestamp,sent_mbps,retransmits,cpu_load,total_time
20210406-140134,10.573002109637,183,0.07472,30.34155821800232
20210406-140234,9.004520058929,100,0.08335,30.34294867515564
20210406-140335,9.988229609158,333,0.117661,30.405879259109497
20210406-140435,8.805316724293,111,0.095673,30.33845329284668
20210406-140536,8.651172742536,126,0.091075,30.302207231521606
20210406-140636,8.396383120166,72,0.076971,30.353294134140015
20210406-140736,9.007217590806,101,0.087276,30.318093299865723
20210406-140837,9.484113621605,83,0.078755,30.305267572402954
20210406-140937,9.099414926349999,107,0.069952,30.368719339370728
20210406-141038,9.148944959245,121,0.08179,30.359699010849
