timestamp,pid1,cpu1,mem1,pid2,cpu2,mem2
20210406-140134,17217,73.3,0.8,17248,73.3,0.8,
20210406-140139,17217,100.0,0.9,17248,66.7,0.9,
20210406-140145,17217,93.8,1.0,17248,80.0,1.0,
20210406-140150,17217,81.2,1.0,17248,73.3,1.0,
20210406-140156,17217,86.7,1.0,17248,86.7,1.0,
20210406-140201,17217,80.0,1.0,17248,80.0,1.0,
20210406-140206,17217,0.0,1.0,17248,0.0,1.0,
20210406-140212,17217,0.0,1.0,17248,0.0,1.0,
20210406-140217,17217,0.0,1.0,17248,0.0,1.0,
20210406-140222,17217,0.0,1.0,17248,0.0,1.0,
20210406-140228,17217,0.0,1.0,17248,0.0,1.0,
20210406-140233,17217,0.0,1.0,17248,0.0,1.0,
20210406-140238,17217,100.0,1.0,17248,81.2,1.0,
20210406-140244,17217,87.5,1.0,17248,87.5,1.0,
20210406-140249,17217,93.3,1.0,17248,86.7,1.0,
20210406-140254,17217,46.7,1.0,17248,20.0,1.0,
20210406-140300,17217,88.9,1.0,17248,80.0,1.0,
20210406-140305,17217,0.0,1.0,17248,0.0,1.0,
20210406-140311,17217,0.0,1.0,17248,0.0,1.0,
20210406-140316,17217,0.0,1.0,17248,0.0,1.0,
20210406-140321,17217,0.0,1.0,17248,0.0,1.0,
20210406-140327,17217,0.0,1.0,17248,0.0,1.0,
20210406-140332,17217,0.0,1.0,17248,0.0,1.0,
20210406-140337,17217,80.0,1.0,17248,100.0,1.0,
20210406-140343,17217,81.2,1.0,17248,60.0,1.0,
20210406-140348,17217,81.2,1.0,17248,33.3,1.0,
20210406-140354,17217,80.0,1.0,17248,80.0,1.0,
20210406-140359,17217,106.7,1.0,17248,86.7,1.0,
20210406-140405,17217,86.7,1.0,17248,87.5,1.0,
20210406-140410,17217,0.0,1.0,17248,0.0,1.0,
20210406-140415,17217,0.0,1.0,17248,0.0,1.0,
20210406-140421,17217,0.0,1.0,17248,0.0,1.0,
20210406-140426,17217,0.0,1.0,17248,0.0,1.0,
20210406-140431,17217,0.0,1.0,17248,0.0,1.0,
20210406-140436,17217,73.3,1.0,17248,80.0,1.0,
20210406-140442,17217,80.0,1.0,17248,93.3,1.0,
20210406-140447,17217,81.2,1.0,17248,93.3,1.0,
20210406-140453,17217,80.0,1.0,17248,86.7,1.0,
20210406-140458,17217,62.5,1.0,17248,73.3,1.0,
20210406-140503,17217,93.3,1.0,17248,86.7,1.0,
20210406-140509,17217,0.0,1.0,17248,0.0,1.0,
20210406-140514,17217,0.0,1.0,17248,0.0,1.0,
20210406-140519,17217,0.0,1.0,17248,0.0,1.0,
20210406-140525,17217,0.0,1.0,17248,0.0,1.0,
20210406-140530,17217,0.0,1.0,17248,0.0,1.0,
20210406-140535,17217,0.0,1.0,17248,0.0,1.0,
20210406-140541,17217,93.3,1.0,17248,100.0,1.0,
20210406-140546,17217,93.3,1.0,17248,75.0,1.0,
20210406-140551,17217,66.7,1.0,17248,53.3,1.0,
20210406-140557,17217,90.0,1.0,17248,80.0,1.0,
20210406-140602,17217,56.2,1.0,17248,60.0,1.0,
20210406-140608,17217,0.0,1.0,17248,0.0,1.0,
20210406-140613,17217,0.0,1.0,17248,0.0,1.0,
20210406-140618,17217,6.7,1.0,17248,0.0,1.0,
20210406-140624,17217,0.0,1.0,17248,0.0,1.0,
20210406-140629,17217,0.0,1.0,17248,0.0,1.0,
20210406-140634,17217,0.0,1.0,17248,0.0,1.0,
20210406-140639,17217,81.2,1.0,17248,93.3,1.0,
20210406-140645,17217,86.7,1.0,17248,93.3,1.0,
20210406-140650,17217,86.7,1.0,17248,73.3,1.0,
20210406-140656,17217,73.3,1.0,17248,60.0,1.0,
20210406-140701,17217,80.0,1.0,17248,73.3,1.0,
20210406-140706,17217,6.7,1.0,17248,0.0,1.0,
20210406-140712,17217,0.0,1.0,17248,0.0,1.0,
20210406-140717,17217,0.0,1.0,17248,0.0,1.0,
20210406-140722,17217,0.0,1.0,17248,0.0,1.0,
20210406-140728,17217,0.0,1.0,17248,0.0,1.0,
20210406-140733,17217,0.0,1.0,17248,0.0,1.0,
20210406-140738,17217,73.3,1.0,17248,73.3,1.0,
20210406-140744,17217,86.7,1.0,17248,86.7,1.0,
20210406-140749,17217,80.0,1.0,17248,86.7,1.0,
20210406-140754,17217,66.7,1.0,17248,66.7,1.0,
20210406-140800,17217,73.3,1.0,17248,68.8,1.0,
20210406-140805,17217,93.3,1.0,17248,86.7,1.0,
20210406-140810,17217,0.0,1.0,17248,0.0,1.0,
20210406-140816,17217,0.0,1.0,17248,0.0,1.0,
20210406-140821,17217,0.0,1.0,17248,0.0,1.0,
20210406-140826,17217,0.0,1.0,17248,0.0,1.0,
20210406-140832,17217,0.0,1.0,17248,0.0,1.0,
20210406-140837,17217,80.0,1.0,17248,73.3,1.0,
20210406-140842,17217,94.1,1.0,17248,100.0,1.0,
20210406-140848,17217,100.0,1.0,17248,86.7,1.0,
20210406-140853,17217,100.0,1.0,17248,93.3,1.0,
20210406-140858,17217,80.0,1.0,17248,80.0,1.0,
20210406-140904,17217,80.0,1.0,17248,86.7,1.0,
20210406-140909,17217,0.0,1.0,17248,0.0,1.0,
20210406-140915,17217,0.0,1.0,17248,0.0,1.0,
20210406-140920,17217,0.0,1.0,17248,0.0,1.0,
20210406-140925,17217,0.0,1.0,17248,0.0,1.0,
20210406-140931,17217,0.0,1.0,17248,0.0,1.0,
20210406-140936,17217,0.0,1.0,17248,0.0,1.0,
20210406-140941,17217,93.3,1.0,17248,80.0,1.0,
20210406-140947,17217,100.0,1.0,17248,93.3,1.0,
20210406-140952,17217,80.0,1.0,17248,86.7,1.0,
20210406-140957,17217,73.3,1.0,17248,66.7,1.0,
20210406-141003,17217,86.7,1.0,17248,73.3,1.0,
20210406-141008,17217,0.0,1.0,17248,0.0,1.0,
