timestamp,sent_mbps,retransmits,cpu_load,total_time
20210406-152235,14.880861549285001,16,0.074034,31.564622402191162
20210406-152336,13.060508994417,3,0.084348,31.459035873413086
20210406-152438,14.711330045577,421,0.131704,31.93647050857544
20210406-152540,14.600799300066999,22,0.077524,31.57874631881714
20210406-152642,14.711687552888002,2,0.07322,31.24596905708313
20210406-152743,13.993656201577,12,0.089799,31.701003789901733
20210406-152845,13.957144648382,1222,0.164708,32.16691327095032
20210406-152947,14.538675270438002,22,0.073015,30.86340832710266
20210406-153048,14.45363978258,19,0.09045,30.58876872062683
20210406-153149,14.879040605197998,648,0.151193,32.06468367576599
