timestamp,sent_mbps,retransmits,cpu_load,total_time
20210407-115043,1.4692259255309998,0,0.077307,45.829405546188354
20210407-115159,15.285260213509,33,0.113653,31.231754064559937
20210407-115301,15.240792811040999,237,0.212713,32.47644329071045
20210407-115403,14.715227333002,23,0.122962,30.572540283203125
20210407-115504,14.94316042096,19,0.148804,30.832340240478516
20210407-115605,15.52446443507,4,0.113565,31.568153381347656
20210407-115706,14.607904180066,788,0.235398,30.948673248291016
20210407-115807,15.230223087498,7,0.106428,31.189056396484375
20210407-115909,14.837233075913998,7,0.101327,30.716668367385864
20210407-120009,15.110306434950001,47,0.115812,30.629156351089478
