timestamp,pid1,cpu1,mem1,pid2,cpu2,mem2
20210407-115042,4964,0.0,0.9,4997,0.0,0.9,
20210407-115047,4964,6.7,0.9,4997,0.0,0.9,
20210407-115053,4964,6.7,0.9,4997,6.7,0.9,
20210407-115058,4964,0.0,0.9,4997,6.7,0.9,
20210407-115103,4964,6.7,0.9,4997,6.7,0.9,
20210407-115108,4964,6.7,0.9,4997,6.2,0.9,
20210407-115114,4964,0.0,0.9,4997,6.2,0.9,
20210407-115119,4964,6.7,0.9,4997,6.2,0.9,
20210407-115124,4964,20.0,0.9,4997,26.7,0.9,
20210407-115130,4964,0.0,0.9,4997,0.0,0.9,
20210407-115135,4964,0.0,0.9,4997,0.0,0.9,
20210407-115140,4964,0.0,0.9,4997,0.0,0.9,
20210407-115146,4964,0.0,0.9,4997,0.0,0.9,
20210407-115151,4964,0.0,0.9,4997,0.0,0.9,
20210407-115156,4964,0.0,0.9,4997,0.0,0.9,
20210407-115202,4964,80.0,0.9,4997,80.0,0.9,
20210407-115207,4964,80.0,0.9,4997,87.5,1.0,
20210407-115212,4964,80.0,1.1,4997,80.0,1.0,
20210407-115218,4964,80.0,1.1,4997,80.0,1.0,
20210407-115223,4964,80.0,1.1,4997,73.3,1.0,
20210407-115229,4964,75.0,1.1,4997,73.3,1.0,
20210407-115234,4964,0.0,1.1,4997,0.0,1.0,
20210407-115239,4964,0.0,1.1,4997,0.0,1.0,
20210407-115245,4964,0.0,1.1,4997,0.0,1.0,
20210407-115250,4964,6.7,1.1,4997,0.0,1.0,
20210407-115255,4964,0.0,1.1,4997,0.0,1.0,
20210407-115301,4964,0.0,1.1,4997,13.3,1.0,
20210407-115306,4964,86.7,1.1,4997,86.7,1.0,
20210407-115311,4964,80.0,1.1,4997,80.0,1.0,
20210407-115317,4964,62.5,1.1,4997,86.7,1.0,
20210407-115322,4964,80.0,1.1,4997,80.0,1.0,
20210407-115327,4964,86.7,1.1,4997,80.0,1.0,
20210407-115333,4964,46.7,1.3,4997,66.7,1.2,
20210407-115338,4964,0.0,1.3,4997,0.0,1.2,
20210407-115343,4964,0.0,1.3,4997,0.0,1.2,
20210407-115349,4964,0.0,1.3,4997,0.0,1.2,
20210407-115354,4964,0.0,1.3,4997,0.0,1.2,
20210407-115359,4964,0.0,1.3,4997,0.0,1.2,
20210407-115405,4964,73.3,1.3,4997,80.0,1.2,
20210407-115410,4964,73.3,1.3,4997,81.2,1.2,
20210407-115415,4964,93.3,1.3,4997,100.0,1.2,
20210407-115421,4964,73.3,1.3,4997,80.0,1.2,
20210407-115426,4964,75.0,1.3,4997,73.3,1.2,
20210407-115432,4964,75.0,1.3,4997,66.7,1.2,
20210407-115437,4964,0.0,1.3,4997,0.0,1.2,
20210407-115442,4964,0.0,1.3,4997,0.0,1.2,
20210407-115448,4964,0.0,1.3,4997,0.0,1.2,
20210407-115453,4964,0.0,1.3,4997,0.0,1.2,
20210407-115458,4964,0.0,1.3,4997,0.0,1.2,
20210407-115504,4964,0.0,1.3,4997,0.0,1.2,
20210407-115509,4964,86.7,1.3,4997,86.7,1.2,
20210407-115514,4964,86.7,1.3,4997,86.7,1.2,
20210407-115520,4964,86.7,1.3,4997,80.0,1.2,
20210407-115525,4964,100.0,1.3,4997,73.3,1.2,
20210407-115530,4964,93.3,1.3,4997,80.0,1.2,
20210407-115536,4964,0.0,1.3,4997,0.0,1.2,
20210407-115541,4964,0.0,1.3,4997,0.0,1.2,
20210407-115546,4964,0.0,1.3,4997,0.0,1.2,
20210407-115552,4964,0.0,1.3,4997,0.0,1.2,
20210407-115557,4964,0.0,1.3,4997,0.0,1.2,
20210407-115602,4964,0.0,1.3,4997,0.0,1.2,
20210407-115608,4964,86.7,1.3,4997,80.0,1.2,
20210407-115613,4964,86.7,1.3,4997,100.0,1.2,
20210407-115618,4964,93.3,1.3,4997,80.0,1.2,
20210407-115624,4964,86.7,1.3,4997,80.0,1.2,
20210407-115629,4964,93.3,1.3,4997,75.0,1.2,
20210407-115635,4964,86.7,1.3,4997,73.3,1.2,
20210407-115640,4964,0.0,1.3,4997,0.0,1.2,
20210407-115645,4964,0.0,1.3,4997,0.0,1.2,
