timestamp,sent_mbps,retransmits,cpu_load,total_time
20210408-090647,14.813301069589,661,0.196723,32.10170865058899
20210408-090749,14.155030774431,365,0.181808,32.193124771118164
20210408-090852,14.23516143901,402,0.162622,32.257588624954224
20210408-090954,14.231237415794,1686,0.23548,32.61624884605408
20210408-091057,14.249169723715001,1488,0.158264,32.07919764518738
20210408-091159,14.207220087574,1053,0.170269,32.8570351600647
20210408-091302,14.390715622515001,17,0.100704,31.083412408828735
20210408-091403,14.224611778258,838,0.17474,32.20380449295044
20210408-091505,14.332318775521,1,0.100624,32.39044427871704
20210408-091608,14.231708775149999,1176,0.173486,32.314324617385864
