timestamp,pid1,cpu1,mem1,pid2,cpu2,mem2,kb_wrtn
20210413-165238,5741,0.0,0.8,5772,0.0,0.8,0
20210413-165243,5741,0.0,0.8,5772,13.3,0.8,64
20210413-165249,5741,60.0,0.8,5772,46.7,0.8,68
20210413-165254,5741,40.0,0.8,5772,40.0,0.8,36
20210413-165259,5741,53.3,0.8,5772,40.0,0.8,52
20210413-165305,5741,53.3,0.8,5772,46.7,0.8,508
20210413-165310,5741,53.3,0.8,5772,46.7,0.8,68
20210413-165315,5741,13.3,0.8,5772,0.0,0.8,252
20210413-165321,5741,20.0,0.8,5772,13.3,0.8,64
20210413-165326,5741,6.7,0.8,5772,6.7,0.8,36
20210413-165331,5741,6.7,0.8,5772,6.2,0.8,88
20210413-165337,5741,6.7,0.8,5772,13.3,0.8,36
20210413-165342,5741,6.7,0.8,5772,12.5,0.8,484
20210413-165347,5741,53.3,0.8,5772,53.3,0.8,248
20210413-165353,5741,46.7,0.8,5772,40.0,0.8,48
20210413-165358,5741,33.3,0.8,5772,46.7,0.8,52
20210413-165403,5741,46.7,0.8,5772,53.3,0.8,40
20210413-165409,5741,46.7,0.8,5772,40.0,0.8,36
20210413-165414,5741,40.0,0.8,5772,40.0,0.8,628
20210413-165420,5741,6.7,0.8,5772,6.2,0.8,92
20210413-165425,5741,6.7,0.8,5772,6.2,0.8,40
20210413-165430,5741,6.7,0.8,5772,6.7,0.8,48
20210413-165436,5741,6.7,0.8,5772,6.7,0.8,52
20210413-165441,5741,6.7,0.8,5772,6.7,0.8,48
20210413-165446,5741,46.7,0.8,5772,46.7,0.8,1184
20210413-165452,5741,43.8,0.8,5772,46.7,0.8,504
20210413-165457,5741,40.0,0.8,5772,46.7,0.8,36
20210413-165502,5741,43.8,0.8,5772,46.7,0.8,64
20210413-165508,5741,46.7,0.8,5772,46.7,0.8,432
20210413-165513,5741,53.3,0.8,5772,46.7,0.8,36
20210413-165518,5741,13.3,0.8,5772,6.7,0.8,260
20210413-165524,5741,13.3,0.8,5772,6.7,0.8,100
20210413-165529,5741,6.7,0.8,5772,13.3,0.8,388
20210413-165534,5741,6.7,0.8,5772,13.3,0.8,56
20210413-165540,5741,13.3,0.8,5772,13.3,0.8,44
20210413-165545,5741,6.7,0.8,5772,13.3,0.8,36
20210413-165550,5741,46.7,0.8,5772,33.3,0.8,252
20210413-165556,5741,46.7,0.8,5772,37.5,0.8,116
20210413-165601,5741,53.3,0.8,5772,40.0,0.8,428
20210413-165606,5741,53.3,0.8,5772,43.8,0.8,112
20210413-165612,5741,40.0,0.8,5772,53.3,0.8,40
20210413-165617,5741,13.3,0.8,5772,6.7,0.8,248
20210413-165623,5741,6.7,0.8,5772,13.3,0.8,36
20210413-165628,5741,13.3,0.8,5772,6.7,0.8,112
20210413-165633,5741,18.8,0.8,5772,0.0,0.8,420
20210413-165639,5741,6.7,0.8,5772,6.7,0.8,96
20210413-165644,5741,13.3,0.8,5772,13.3,0.8,52
20210413-165649,5741,50.0,0.8,5772,40.0,0.8,248
20210413-165655,5741,46.7,0.8,5772,46.7,0.8,44
20210413-165700,5741,40.0,0.8,5772,46.7,0.8,36
20210413-165705,5741,46.7,0.8,5772,46.7,0.8,444
20210413-165711,5741,46.7,0.8,5772,46.7,0.8,76
20210413-165716,5741,6.2,0.8,5772,6.7,0.8,72
20210413-165721,5741,13.3,0.8,5772,13.3,0.8,252
20210413-165727,5741,6.7,0.8,5772,6.7,0.8,80
20210413-165732,5741,6.7,0.8,5772,6.7,0.8,36
20210413-165737,5741,13.3,0.8,5772,6.7,0.8,56
20210413-165743,5741,13.3,0.8,5772,6.7,0.8,472
20210413-165748,5741,53.3,0.8,5772,53.3,0.8,112
20210413-165753,5741,40.0,0.8,5772,33.3,0.8,244
20210413-165759,5741,53.3,0.8,5772,46.7,0.8,48
20210413-165804,5741,46.7,0.8,5772,46.7,0.8,548
20210413-165809,5741,40.0,0.8,5772,40.0,0.8,68
20210413-165815,5741,40.0,0.8,5772,46.7,0.8,36
20210413-165820,5741,6.7,0.8,5772,13.3,0.8,452
20210413-165825,5741,13.3,0.8,5772,6.7,0.8,76
20210413-165831,5741,6.7,0.8,5772,6.7,0.8,36
20210413-165836,5741,6.7,0.8,5772,6.7,0.8,36
20210413-165841,5741,13.3,0.8,5772,6.7,0.8,40
20210413-165847,5741,43.8,0.8,5772,53.3,0.8,84
20210413-165852,5741,46.7,0.8,5772,46.7,0.8,256
20210413-165858,5741,40.0,0.8,5772,40.0,0.8,532
20210413-165903,5741,43.8,0.8,5772,46.7,0.8,36
20210413-165908,5741,53.3,0.8,5772,53.3,0.8,36
20210413-165914,5741,53.3,0.8,5772,53.3,0.8,36
20210413-165919,5741,6.2,0.8,5772,6.7,0.8,48
20210413-165924,5741,6.7,0.8,5772,6.7,0.8,248
20210413-165930,5741,13.3,0.8,5772,6.7,0.8,36
20210413-165935,5741,6.7,0.8,5772,6.7,0.8,520
20210413-165940,5741,6.7,0.8,5772,13.3,0.8,40
20210413-165946,5741,13.3,0.8,5772,6.7,0.8,976
20210413-165951,5741,53.3,0.8,5772,53.3,0.8,52
20210413-165956,5741,53.3,0.8,5772,46.7,0.8,260
20210413-170002,5741,40.0,0.8,5772,60.0,0.8,384
20210413-170007,5741,46.7,0.8,5772,40.0,0.8,220
20210413-170012,5741,46.7,0.8,5772,53.3,0.8,48
20210413-170018,5741,0.0,0.8,5772,6.2,0.8,48
20210413-170023,5741,6.2,0.8,5772,6.7,0.8,256
20210413-170029,5741,6.7,0.8,5772,13.3,0.8,48
20210413-170034,5741,6.7,0.8,5772,6.7,0.8,352
20210413-170039,5741,13.3,0.8,5772,6.7,0.8,76
20210413-170044,5741,6.7,0.8,5772,6.7,0.8,120
20210413-170050,5741,46.7,0.8,5772,40.0,0.8,60
20210413-170055,5741,46.7,0.8,5772,40.0,0.8,272
20210413-170101,5741,46.7,0.8,5772,53.3,0.8,48
20210413-170106,5741,33.3,0.8,5772,46.7,0.8,36
20210413-170111,5741,40.0,0.8,5772,40.0,0.8,408
20210413-170117,5741,40.0,0.8,5772,46.7,0.8,100
20210413-170122,5741,13.3,0.8,5772,0.0,0.8,524
