timestamp,pid1,cpu1,mem1,pid2,cpu2,mem2,kb_wrtn
20210413-185342,393,0.0,0.8,432,0.0,0.8,0
20210413-185348,393,0.0,0.8,432,0.0,0.8,272
20210413-185353,393,80.0,0.9,432,80.0,0.8,168
20210413-185358,393,80.0,0.9,432,66.7,0.8,80
20210413-185404,393,73.3,0.9,432,73.3,0.8,432
20210413-185409,393,66.7,0.9,432,60.0,0.8,124
20210413-185415,393,73.3,0.9,432,86.7,0.8,60
20210413-185420,393,73.3,0.9,432,80.0,0.8,48
20210413-185425,393,0.0,0.9,432,0.0,0.8,5660
20210413-185431,393,0.0,0.9,432,0.0,0.8,132
20210413-185436,393,0.0,0.9,432,0.0,0.8,36
20210413-185441,393,0.0,0.9,432,0.0,0.8,412
20210413-185447,393,0.0,0.9,432,0.0,0.8,1024
20210413-185452,393,86.7,0.9,432,86.7,0.8,44
20210413-185457,393,86.7,0.9,432,86.7,0.8,80
20210413-185503,393,80.0,0.9,432,86.7,0.8,84
20210413-185508,393,80.0,0.9,432,86.7,0.8,136
20210413-185514,393,86.7,1.1,432,86.7,1.1,60
20210413-185519,393,80.0,1.1,432,81.2,1.1,568
20210413-185524,393,0.0,1.1,432,0.0,1.1,3620
20210413-185530,393,0.0,1.1,432,0.0,1.1,3096
20210413-185535,393,0.0,1.1,432,0.0,1.1,64
20210413-185540,393,0.0,1.1,432,0.0,1.1,120
20210413-185546,393,0.0,1.1,432,0.0,1.1,352
20210413-185551,393,0.0,1.1,432,0.0,1.1,56
20210413-185556,393,80.0,1.1,432,80.0,1.1,92
20210413-185602,393,73.3,1.1,432,86.7,1.1,1968
20210413-185607,393,75.0,1.1,432,73.3,1.1,92
20210413-185613,393,73.3,1.1,432,86.7,1.1,44
20210413-185618,393,73.3,1.1,432,80.0,1.1,44
20210413-185623,393,0.0,1.1,432,0.0,1.1,4336
20210413-185629,393,0.0,1.1,432,0.0,1.1,92
20210413-185634,393,0.0,1.1,432,0.0,1.1,264
20210413-185639,393,0.0,1.1,432,0.0,1.1,56
20210413-185645,393,0.0,1.1,432,0.0,1.1,68
20210413-185650,393,0.0,1.1,432,0.0,1.1,36
20210413-185655,393,68.8,1.1,432,73.3,1.1,204
20210413-185701,393,80.0,1.1,432,80.0,1.1,528
20210413-185706,393,73.3,1.1,432,93.3,1.1,44
20210413-185711,393,75.0,1.1,432,87.5,1.1,44
20210413-185717,393,66.7,1.1,432,80.0,1.1,4080
20210413-185722,393,86.7,1.1,432,80.0,1.1,44
20210413-185728,393,0.0,1.1,432,0.0,1.1,52
20210413-185733,393,0.0,1.1,432,0.0,1.1,36
20210413-185738,393,0.0,1.1,432,0.0,1.1,40
20210413-185744,393,0.0,1.1,432,0.0,1.1,2156
20210413-185749,393,0.0,1.1,432,0.0,1.1,520
20210413-185754,393,73.3,1.1,432,73.3,1.1,72
20210413-185800,393,86.7,1.1,432,80.0,1.1,56
20210413-185805,393,73.3,1.1,432,86.7,1.1,84
20210413-185810,393,73.3,1.1,432,80.0,1.1,3252
20210413-185816,393,73.3,1.1,432,93.3,1.1,44
20210413-185821,393,80.0,1.1,432,100.0,1.1,44
20210413-185827,393,0.0,1.1,432,0.0,1.1,52
20210413-185832,393,0.0,1.1,432,0.0,1.1,36
20210413-185837,393,6.7,1.1,432,0.0,1.1,40
20210413-185843,393,0.0,1.1,432,0.0,1.1,3408
20210413-185848,393,0.0,1.1,432,0.0,1.1,312
20210413-185853,393,0.0,1.1,432,0.0,1.1,56
20210413-185859,393,73.3,1.1,432,80.0,1.1,56
20210413-185904,393,80.0,1.1,432,80.0,1.1,44
20210413-185909,393,73.3,1.1,432,80.0,1.1,44
20210413-185915,393,75.0,1.1,432,80.0,1.1,540
20210413-185920,393,80.0,1.1,432,100.0,1.1,84
20210413-185926,393,0.0,1.1,432,0.0,1.1,6504
20210413-185931,393,0.0,1.1,432,0.0,1.1,68
20210413-185936,393,0.0,1.1,432,0.0,1.1,40
20210413-185942,393,0.0,1.1,432,0.0,1.1,36
20210413-185947,393,0.0,1.1,432,0.0,1.1,36
20210413-185952,393,0.0,1.1,432,0.0,1.1,44
20210413-185958,393,86.7,1.1,432,106.7,1.1,1036
20210413-190003,393,80.0,1.1,432,86.7,1.1,488
20210413-190008,393,80.0,1.1,432,93.3,1.1,84
20210413-190014,393,62.5,1.1,432,80.0,1.1,44
20210413-190019,393,80.0,1.1,432,86.7,1.1,4820
20210413-190024,393,0.0,1.1,432,0.0,1.1,80
20210413-190030,393,0.0,1.1,432,0.0,1.1,52
20210413-190035,393,0.0,1.1,432,0.0,1.1,36
20210413-190040,393,0.0,1.1,432,0.0,1.1,40
20210413-190046,393,0.0,1.1,432,0.0,1.1,36
20210413-190051,393,0.0,1.1,432,0.0,1.1,1716
20210413-190056,393,80.0,1.1,432,86.7,1.1,504
20210413-190102,393,80.0,1.1,432,81.2,1.1,72
20210413-190107,393,75.0,1.1,432,80.0,1.1,48
20210413-190113,393,60.0,1.1,432,81.2,1.1,44
20210413-190118,393,68.8,1.1,432,80.0,1.1,52
20210413-190123,393,73.3,1.1,432,68.8,1.1,48
20210413-190129,393,0.0,1.1,432,0.0,1.1,6256
20210413-190134,393,0.0,1.1,432,0.0,1.1,104
20210413-190139,393,0.0,1.1,432,0.0,1.1,52
20210413-190145,393,0.0,1.1,432,0.0,1.1,44
20210413-190150,393,0.0,1.1,432,0.0,1.1,88
20210413-190155,393,73.3,1.1,432,62.5,1.1,56
20210413-190201,393,66.7,1.1,432,86.7,1.1,44
20210413-190206,393,68.8,1.1,432,80.0,1.1,540
20210413-190212,393,73.3,1.1,432,73.3,1.1,44
20210413-190217,393,80.0,1.1,432,86.7,1.1,48
20210413-190222,393,81.2,1.1,432,93.3,1.1,80
20210413-190228,393,0.0,1.1,432,0.0,1.1,6144
20210413-190233,393,0.0,1.1,432,0.0,1.1,36
20210413-190238,393,0.0,1.1,432,0.0,1.1,0
20210413-190244,393,0.0,1.1,432,0.0,1.1,40
20210413-190249,393,0.0,1.1,432,0.0,1.1,36
20210413-190254,393,0.0,1.1,432,0.0,1.1,36
20210413-190300,393,62.5,1.1,432,86.7,1.1,524
20210413-190305,393,75.0,1.1,432,80.0,1.1,264
20210413-190310,393,86.7,1.1,432,86.7,1.1,3392
20210413-190316,393,80.0,1.1,432,73.3,1.1,72
20210413-190321,393,86.7,1.1,432,86.7,1.1,44
20210413-190327,393,0.0,1.1,432,0.0,1.1,44
20210413-190332,393,0.0,1.1,432,0.0,1.1,52
20210413-190337,393,0.0,1.1,432,0.0,1.1,36
20210413-190343,393,0.0,1.1,432,0.0,1.1,3208
20210413-190348,393,0.0,1.1,432,0.0,1.1,360
