timestamp,pid1,cpu1,mem1,pid2,cpu2,mem2,kb_wrtn
20210413-142827,25212,0.0,0.8,25244,0.0,0.8,0
20210413-142832,25212,60.0,0.8,25244,60.0,0.8,140
20210413-142837,25212,60.0,0.8,25244,60.0,0.8,400
20210413-142843,25212,66.7,0.8,25244,68.8,0.8,36
20210413-142848,25212,66.7,0.8,25244,66.7,0.8,36
20210413-142853,25212,53.3,0.8,25244,56.2,0.8,36
20210413-142859,25212,60.0,0.8,25244,53.3,0.8,36
20210413-142904,25212,0.0,0.8,25244,0.0,0.8,48
20210413-142909,25212,0.0,0.8,25244,0.0,0.8,484
20210413-142915,25212,0.0,0.8,25244,0.0,0.8,76
20210413-142920,25212,0.0,0.8,25244,0.0,0.8,44
20210413-142925,25212,0.0,0.8,25244,0.0,0.8,36
20210413-142931,25212,0.0,0.8,25244,0.0,0.8,36
20210413-142936,25212,53.3,0.8,25244,56.2,0.8,56
20210413-142941,25212,53.3,0.8,25244,60.0,0.8,56
20210413-142947,25212,53.3,0.9,25244,62.5,0.9,1424
20210413-142952,25212,53.3,0.9,25244,53.3,0.9,60
20210413-142958,25212,60.0,0.9,25244,53.3,0.9,52
20210413-143003,25212,53.3,0.9,25244,60.0,0.9,36
20210413-143008,25212,0.0,0.9,25244,0.0,0.9,72
20210413-143014,25212,0.0,0.9,25244,0.0,0.9,36
20210413-143019,25212,0.0,0.9,25244,0.0,0.9,36
20210413-143024,25212,0.0,0.9,25244,0.0,0.9,492
20210413-143030,25212,0.0,0.9,25244,0.0,0.9,120
20210413-143035,25212,62.5,0.9,25244,66.7,0.9,36
20210413-143040,25212,50.0,0.9,25244,53.3,0.9,84
20210413-143046,25212,60.0,0.9,25244,66.7,0.9,36
20210413-143051,25212,53.3,0.9,25244,53.3,0.9,44
20210413-143056,25212,60.0,0.9,25244,53.3,0.9,412
20210413-143102,25212,60.0,0.9,25244,60.0,0.9,148
20210413-143107,25212,0.0,0.9,25244,0.0,0.9,268
20210413-143112,25212,0.0,0.9,25244,0.0,0.9,40
20210413-143118,25212,0.0,0.9,25244,0.0,0.9,52
20210413-143123,25212,0.0,0.9,25244,0.0,0.9,36
20210413-143128,25212,0.0,0.9,25244,0.0,0.9,340
20210413-143134,25212,0.0,0.9,25244,0.0,0.9,76
20210413-143139,25212,53.3,0.9,25244,50.0,0.9,112
20210413-143144,25212,50.0,0.9,25244,60.0,0.9,40
20210413-143150,25212,60.0,0.9,25244,60.0,0.9,36
20210413-143155,25212,60.0,0.9,25244,66.7,0.9,48
20210413-143201,25212,60.0,0.9,25244,60.0,0.9,44
20210413-143206,25212,56.2,0.9,25244,60.0,0.9,424
20210413-143211,25212,0.0,0.9,25244,0.0,0.9,180
20210413-143217,25212,0.0,0.9,25244,0.0,0.9,40
20210413-143222,25212,0.0,0.9,25244,0.0,0.9,316
20210413-143227,25212,0.0,0.9,25244,0.0,0.9,96
20210413-143233,25212,0.0,0.9,25244,0.0,0.9,264
20210413-143238,25212,60.0,0.9,25244,56.2,0.9,68
20210413-143243,25212,60.0,0.9,25244,56.2,0.9,56
20210413-143249,25212,73.3,0.9,25244,73.3,0.9,36
20210413-143254,25212,53.3,0.9,25244,53.3,0.9,36
20210413-143259,25212,53.3,0.9,25244,66.7,0.9,64
20210413-143305,25212,53.3,0.9,25244,60.0,0.9,508
20210413-143310,25212,0.0,0.9,25244,0.0,0.9,68
20210413-143315,25212,0.0,0.9,25244,0.0,0.9,48
20210413-143321,25212,0.0,0.9,25244,0.0,0.9,36
20210413-143326,25212,0.0,0.9,25244,0.0,0.9,384
20210413-143331,25212,0.0,0.9,25244,0.0,0.9,68
20210413-143337,25212,0.0,0.9,25244,0.0,0.9,36
