timestamp,pid1,cpu1,mem1,pid2,cpu2,mem2,kb_wrtn
20210414-134405,29382,0.0,0.8,29415,0.0,0.8,100
20210414-134411,29382,73.3,0.8,29415,66.7,0.8,2008
20210414-134416,29382,73.3,0.8,29415,66.7,0.8,104
20210414-134422,29382,60.0,0.8,29415,66.7,0.8,28096
20210414-134427,29382,46.7,0.8,29415,46.7,0.8,168316
20210414-134432,29382,66.7,0.8,29415,60.0,0.8,116000
20210414-134438,29382,53.3,0.8,29415,60.0,0.8,60
20210414-134443,29382,0.0,0.8,29415,0.0,0.8,68
20210414-134448,29382,0.0,0.8,29415,0.0,0.8,44
20210414-134454,29382,0.0,0.8,29415,0.0,0.8,12492
20210414-134459,29382,0.0,0.8,29415,0.0,0.8,60064
20210414-134504,29382,0.0,0.8,29415,6.7,0.8,116108
20210414-134510,29382,73.3,0.8,29415,66.7,0.8,88
20210414-134515,29382,80.0,0.8,29415,73.3,0.8,80
20210414-134520,29382,60.0,0.8,29415,73.3,0.8,116
20210414-134526,29382,66.7,0.8,29415,20.0,0.8,153916
20210414-134531,29382,53.3,0.8,29415,60.0,0.8,168116
20210414-134537,29382,60.0,0.8,29415,66.7,0.8,60
20210414-134542,29382,0.0,0.8,29415,0.0,0.8,68
20210414-134547,29382,0.0,0.8,29415,0.0,0.8,40
20210414-134553,29382,0.0,0.8,29415,0.0,0.8,40
20210414-134558,29382,0.0,0.8,29415,0.0,0.8,25140
20210414-134603,29382,0.0,0.8,29415,0.0,0.8,189244
20210414-134609,29382,0.0,0.8,29415,0.0,0.8,12
20210414-134614,29382,68.8,0.8,29415,66.7,0.8,384
20210414-134619,29382,73.3,0.8,29415,66.7,0.8,104
20210414-134625,29382,43.8,0.8,29415,46.7,0.8,49548
20210414-134630,29382,66.7,0.8,29415,60.0,0.8,253972
20210414-134635,29382,73.3,0.8,29415,66.7,0.8,60
20210414-134641,29382,0.0,0.8,29415,0.0,0.8,60
20210414-134646,29382,0.0,0.8,29415,0.0,0.8,68
20210414-134651,29382,0.0,0.8,29415,0.0,0.8,40
20210414-134657,29382,0.0,0.8,29415,0.0,0.8,64
20210414-134702,29382,0.0,0.8,29415,0.0,0.8,222208
