timestamp,pid1,cpu1,mem1,pid2,cpu2,mem2,kb_wrtn
20210413-180707,21065,0.0,0.8,21097,0.0,0.8,0
20210413-180713,21065,26.7,0.8,21097,73.3,0.9,68
20210413-180718,21065,80.0,0.9,21097,93.3,0.9,7340
20210413-180723,21065,87.5,0.9,21097,93.3,0.9,113120
20210413-180729,21065,86.7,0.9,21097,86.7,0.9,52
20210413-180734,21065,81.2,0.9,21097,100.0,0.9,110300
20210413-180740,21065,75.0,0.9,21097,75.0,0.9,248572
20210413-180745,21065,0.0,0.9,21097,0.0,0.9,140
20210413-180750,21065,0.0,0.9,21097,0.0,0.9,64
20210413-180756,21065,0.0,0.9,21097,0.0,0.9,36
20210413-180801,21065,0.0,0.9,21097,0.0,0.9,40
20210413-180806,21065,0.0,0.9,21097,0.0,0.9,20208
20210413-180812,21065,0.0,0.9,21097,0.0,0.9,76040
20210413-180817,21065,93.3,0.9,21097,81.2,0.9,92
20210413-180822,21065,80.0,0.9,21097,86.7,0.9,52
20210413-180828,21065,73.3,0.9,21097,86.7,0.9,72884
20210413-180833,21065,93.3,0.9,21097,100.0,0.9,277340
20210413-180839,21065,100.0,0.9,21097,86.7,0.9,96
20210413-180844,21065,0.0,0.9,21097,0.0,0.9,39468
20210413-180849,21065,0.0,0.9,21097,0.0,0.9,168808
20210413-180855,21065,0.0,0.9,21097,0.0,0.9,33244
20210413-180900,21065,0.0,0.9,21097,0.0,0.9,244
20210413-180905,21065,0.0,0.9,21097,0.0,0.9,1656
20210413-180911,21065,0.0,0.9,21097,0.0,0.9,104
20210413-180916,21065,100.0,0.9,21097,93.3,0.9,1840
20210413-180921,21065,86.7,0.9,21097,93.3,0.9,732
20210413-180927,21065,87.5,0.9,21097,87.5,0.9,47024
20210413-180932,21065,60.0,0.9,21097,53.3,0.9,208920
20210413-180938,21065,93.3,0.9,21097,86.7,0.9,103072
20210413-180943,21065,93.3,0.9,21097,93.3,0.9,52
20210413-180949,21065,0.0,0.9,21097,0.0,0.9,1004
20210413-180954,21065,0.0,0.9,21097,0.0,0.9,36
20210413-180959,21065,0.0,0.9,21097,0.0,0.9,34600
20210413-181005,21065,0.0,0.9,21097,0.0,0.9,46472
20210413-181010,21065,0.0,0.9,21097,0.0,0.9,122364
20210413-181015,21065,80.0,0.9,21097,93.3,0.9,468
20210413-181021,21065,100.0,0.9,21097,100.0,0.9,68
20210413-181026,21065,81.2,0.9,21097,93.3,0.9,52204
20210413-181031,21065,80.0,0.9,21097,80.0,0.9,255048
20210413-181037,21065,80.0,0.9,21097,80.0,0.9,56
20210413-181042,21065,80.0,0.9,21097,46.7,0.9,31880
20210413-181048,21065,0.0,0.9,21097,0.0,0.9,39704
20210413-181053,21065,0.0,0.9,21097,0.0,0.9,188580
20210413-181058,21065,0.0,0.9,21097,0.0,0.9,36
20210413-181104,21065,0.0,0.9,21097,0.0,0.9,36
20210413-181109,21065,0.0,0.9,21097,0.0,0.9,36
20210413-181114,21065,6.7,0.9,21097,40.0,0.9,36
20210413-181120,21065,93.3,0.9,21097,93.3,0.9,11024
20210413-181125,21065,80.0,0.9,21097,86.7,0.9,16384
20210413-181130,21065,80.0,0.9,21097,73.3,0.9,45088
20210413-181136,21065,81.2,0.9,21097,73.3,0.9,238440
20210413-181141,21065,93.3,0.9,21097,93.3,0.9,120
20210413-181147,21065,0.0,0.9,21097,0.0,0.9,52
20210413-181152,21065,0.0,0.9,21097,0.0,0.9,64
20210413-181157,21065,0.0,0.9,21097,0.0,0.9,68
20210413-181203,21065,0.0,0.9,21097,0.0,0.9,42764
20210413-181208,21065,0.0,0.9,21097,0.0,0.9,158848
20210413-181213,21065,0.0,0.9,21097,0.0,0.9,616
20210413-181219,21065,80.0,0.9,21097,86.7,0.9,68
20210413-181224,21065,73.3,0.9,21097,80.0,0.9,52
20210413-181229,21065,80.0,0.9,21097,73.3,0.9,62864
20210413-181235,21065,73.3,0.9,21097,73.3,0.9,229472
20210413-181240,21065,86.7,0.9,21097,93.3,0.9,136
20210413-181245,21065,0.0,0.9,21097,0.0,0.9,52
20210413-181251,21065,0.0,0.9,21097,0.0,0.9,64
20210413-181256,21065,0.0,0.9,21097,0.0,0.9,36
20210413-181301,21065,0.0,0.9,21097,0.0,0.9,74356
20210413-181307,21065,0.0,0.9,21097,0.0,0.9,152260
20210413-181312,21065,0.0,0.9,21097,0.0,0.9,204
20210413-181317,21065,81.2,0.9,21097,113.3,0.9,68
20210413-181323,21065,80.0,0.9,21097,86.7,0.9,52
20210413-181328,21065,86.7,0.9,21097,80.0,0.9,47568
20210413-181334,21065,73.3,0.9,21097,66.7,0.9,149900
20210413-181339,21065,73.3,0.9,21097,66.7,0.9,133768
20210413-181344,21065,86.7,0.9,21097,80.0,0.9,52
20210413-181350,21065,0.0,0.9,21097,0.0,0.9,64
20210413-181355,21065,0.0,0.9,21097,0.0,0.9,36
20210413-181400,21065,0.0,0.9,21097,0.0,0.9,36
20210413-181406,21065,0.0,0.9,21097,0.0,0.9,76252
20210413-181411,21065,0.0,0.9,21097,0.0,0.9,125400
20210413-181416,21065,87.5,0.9,21097,80.0,0.9,68
20210413-181422,21065,66.7,0.9,21097,100.0,0.9,68
20210413-181427,21065,86.7,1.0,21097,80.0,1.0,61800
20210413-181433,21065,73.3,1.0,21097,68.8,1.0,227832
20210413-181438,21065,66.7,1.0,21097,80.0,1.0,56
20210413-181443,21065,86.7,1.0,21097,81.2,1.0,52
20210413-181449,21065,0.0,1.0,21097,0.0,1.0,81776
20210413-181454,21065,0.0,1.0,21097,0.0,1.0,181908
20210413-181459,21065,0.0,1.0,21097,0.0,1.0,52
20210413-181505,21065,0.0,1.0,21097,0.0,1.0,48
20210413-181510,21065,0.0,1.0,21097,0.0,1.0,36
20210413-181515,21065,0.0,1.0,21097,0.0,1.0,36
20210413-181521,21065,86.7,1.0,21097,80.0,1.0,8252
20210413-181526,21065,86.7,1.0,21097,86.7,1.0,106844
20210413-181532,21065,86.7,1.0,21097,80.0,1.0,52
20210413-181537,21065,80.0,1.0,21097,86.7,1.0,41000
20210413-181542,21065,73.3,1.0,21097,73.3,1.0,237652
20210413-181548,21065,0.0,1.0,21097,0.0,1.0,64
20210413-181553,21065,0.0,1.0,21097,0.0,1.0,36
20210413-181558,21065,0.0,1.0,21097,0.0,1.0,28964
20210413-181604,21065,0.0,1.0,21097,0.0,1.0,36
