timestamp,pid1,cpu1,mem1,pid2,cpu2,mem2,kb_wrtn
20210414-143249,7834,0.0,0.9,7865,0.0,0.9,0
20210414-143254,7834,0.0,0.9,7865,6.7,0.9,976
20210414-143300,7834,6.7,0.9,7865,6.7,0.9,76
20210414-143305,7834,60.0,0.9,7865,60.0,0.9,76
20210414-143310,7834,60.0,0.9,7865,53.3,0.9,516
20210414-143316,7834,66.7,0.9,7865,53.3,0.9,68
20210414-143321,7834,50.0,0.9,7865,66.7,0.9,52
20210414-143327,7834,60.0,0.9,7865,46.7,0.9,192
20210414-143332,7834,6.7,0.9,7865,13.3,0.9,528
20210414-143337,7834,0.0,0.9,7865,6.7,0.9,40
20210414-143343,7834,6.7,0.9,7865,6.7,0.9,40
20210414-143348,7834,6.7,0.9,7865,6.7,0.9,44
20210414-143353,7834,6.7,0.9,7865,6.7,0.9,40
20210414-143359,7834,13.3,0.9,7865,0.0,0.9,40
20210414-143404,7834,6.7,0.9,7865,13.3,0.9,556
20210414-143409,7834,60.0,0.9,7865,62.5,0.9,144
20210414-143415,7834,66.7,0.9,7865,66.7,0.9,60
20210414-143420,7834,66.7,0.9,7865,60.0,0.9,40
20210414-143425,7834,50.0,0.9,7865,60.0,0.9,40
20210414-143431,7834,56.2,0.9,7865,53.3,0.9,44
20210414-143436,7834,0.0,0.9,7865,6.2,0.9,200
20210414-143441,7834,13.3,0.9,7865,6.2,0.9,428
20210414-143447,7834,6.7,0.9,7865,6.7,0.9,148
20210414-143452,7834,13.3,0.9,7865,13.3,0.9,60
20210414-143457,7834,6.7,0.9,7865,6.7,0.9,76
20210414-143503,7834,6.2,0.9,7865,13.3,0.9,200
20210414-143508,7834,6.7,0.9,7865,6.7,0.9,36
20210414-143513,7834,53.3,0.9,7865,73.3,0.9,624
20210414-143519,7834,60.0,0.9,7865,66.7,0.9,84
20210414-143524,7834,60.0,0.9,7865,66.7,0.9,56
20210414-143530,7834,66.7,0.9,7865,73.3,0.9,56
20210414-143535,7834,60.0,0.9,7865,73.3,0.9,196
20210414-143540,7834,13.3,0.9,7865,6.7,0.9,52
20210414-143546,7834,6.7,0.9,7865,6.7,0.9,48
20210414-143551,7834,6.7,0.9,7865,0.0,0.9,448
20210414-143556,7834,6.7,0.9,7865,0.0,0.9,80
20210414-143602,7834,5.9,0.9,7865,0.0,0.9,64
20210414-143607,7834,6.7,0.9,7865,0.0,0.9,172
20210414-143612,7834,13.3,0.9,7865,6.7,0.9,384
20210414-143618,7834,66.7,0.9,7865,56.2,0.9,220
20210414-143623,7834,66.7,0.9,7865,62.5,0.9,40
20210414-143628,7834,66.7,0.9,7865,80.0,0.9,452
20210414-143634,7834,60.0,0.9,7865,73.3,0.9,40
20210414-143639,7834,62.5,0.9,7865,66.7,0.9,36
20210414-143644,7834,60.0,0.9,7865,40.0,0.9,40
20210414-143650,7834,6.2,0.9,7865,6.7,0.9,52
20210414-143655,7834,6.7,0.9,7865,0.0,0.9,40
20210414-143700,7834,0.0,0.9,7865,6.7,0.9,672
20210414-143706,7834,6.7,0.9,7865,0.0,0.9,64
20210414-143711,7834,0.0,0.9,7865,6.7,0.9,624
20210414-143716,7834,6.7,0.9,7865,0.0,0.9,736
20210414-143722,7834,62.5,0.9,7865,70.6,0.9,68
20210414-143727,7834,60.0,0.9,7865,60.0,0.9,536
20210414-143733,7834,66.7,0.9,7865,53.3,0.9,88
20210414-143738,7834,60.0,0.9,7865,73.3,0.9,264
20210414-143743,7834,53.3,0.9,7865,60.0,0.9,72
20210414-143749,7834,66.7,0.9,7865,60.0,0.9,152
20210414-143754,7834,6.7,0.9,7865,6.7,0.9,576
20210414-143759,7834,6.2,0.9,7865,6.7,0.9,48
20210414-143805,7834,13.3,0.9,7865,0.0,0.9,964
20210414-143810,7834,0.0,0.9,7865,6.7,0.9,40
20210414-143815,7834,6.7,0.9,7865,0.0,0.9,40
20210414-143821,7834,6.2,0.9,7865,6.2,0.9,40
20210414-143826,7834,6.7,0.9,7865,6.7,0.9,232
20210414-143831,7834,60.0,0.9,7865,66.7,0.9,556
20210414-143837,7834,60.0,0.9,7865,60.0,0.9,44
20210414-143842,7834,60.0,0.9,7865,60.0,0.9,428
20210414-143847,7834,66.7,0.9,7865,60.0,0.9,44
20210414-143853,7834,33.3,0.9,7865,46.7,0.9,40
20210414-143858,7834,6.7,0.9,7865,0.0,0.9,40
20210414-143904,7834,6.7,0.9,7865,6.7,0.9,532
20210414-143909,7834,6.7,0.9,7865,6.7,0.9,40
20210414-143914,7834,0.0,0.9,7865,6.7,0.9,40
20210414-143920,7834,6.7,0.9,7865,6.7,0.9,40
20210414-143925,7834,6.7,0.9,7865,13.3,0.9,40
20210414-143930,7834,6.7,0.9,7865,6.7,0.9,184
20210414-143936,7834,13.3,0.9,7865,18.8,0.9,516
20210414-143941,7834,60.0,0.9,7865,53.3,0.9,88
20210414-143946,7834,66.7,0.9,7865,73.3,0.9,48
20210414-143952,7834,60.0,0.9,7865,60.0,0.9,80
20210414-143957,7834,53.3,0.9,7865,50.0,0.9,40
20210414-144002,7834,60.0,0.9,7865,60.0,0.9,200
20210414-144008,7834,6.7,0.9,7865,0.0,0.9,40
20210414-144013,7834,6.7,0.9,7865,6.2,0.9,520
20210414-144018,7834,6.7,0.9,7865,0.0,0.9,40
20210414-144024,7834,5.6,0.9,7865,13.3,0.9,60
20210414-144029,7834,6.2,0.9,7865,0.0,0.9,44
20210414-144034,7834,6.7,0.9,7865,6.7,0.9,196
20210414-144040,7834,0.0,0.9,7865,6.7,0.9,40
20210414-144045,7834,66.7,0.9,7865,66.7,0.9,496
20210414-144050,7834,66.7,0.9,7865,53.3,0.9,116
20210414-144056,7834,53.3,0.9,7865,68.8,0.9,40
20210414-144101,7834,53.3,0.9,7865,53.3,0.9,196
20210414-144107,7834,53.3,0.9,7865,46.7,0.9,52
20210414-144112,7834,26.7,0.9,7865,13.3,0.9,76
20210414-144117,7834,6.7,0.9,7865,5.6,0.9,488
20210414-144123,7834,6.7,0.9,7865,13.3,0.9,96
20210414-144128,7834,6.7,0.9,7865,5.9,0.9,40
20210414-144133,7834,6.7,0.9,7865,6.7,0.9,184
20210414-144139,7834,6.7,0.9,7865,6.7,0.9,60
20210414-144144,7834,6.7,0.9,7865,0.0,0.9,40
20210414-144149,7834,33.3,0.9,7865,68.8,0.9,44
20210414-144155,7834,60.0,0.9,7865,60.0,0.9,512
20210414-144200,7834,56.2,0.9,7865,56.2,0.9,112
20210414-144205,7834,53.3,0.9,7865,60.0,0.9,200
20210414-144211,7834,56.2,0.9,7865,60.0,0.9,40
20210414-144216,7834,53.3,0.9,7865,60.0,0.9,40
20210414-144221,7834,6.7,0.9,7865,6.7,0.9,56
20210414-144227,7834,6.7,0.9,7865,6.7,0.9,48
20210414-144232,7834,6.7,0.9,7865,0.0,0.9,504
20210414-144237,7834,6.7,0.9,7865,6.2,0.9,192
20210414-144243,7834,6.7,0.9,7865,0.0,0.9,40
20210414-144248,7834,0.0,0.9,7865,6.7,0.9,44
20210414-144253,7834,6.7,0.9,7865,6.7,0.9,40
20210414-144259,7834,66.7,0.9,7865,66.7,0.9,56
20210414-144304,7834,60.0,0.9,7865,66.7,0.9,1656
20210414-144310,7834,66.7,0.9,7865,60.0,0.9,88
20210414-144315,7834,60.0,0.9,7865,60.0,0.9,40
20210414-144320,7834,60.0,0.9,7865,60.0,0.9,40
20210414-144326,7834,0.0,0.9,7865,6.7,0.9,40
20210414-144331,7834,6.7,0.9,7865,6.7,0.9,88
20210414-144336,7834,13.3,0.9,7865,6.7,0.9,216
20210414-144342,7834,6.2,0.9,7865,13.3,0.9,512
20210414-144347,7834,6.7,0.9,7865,6.7,0.9,44
20210414-144352,7834,5.9,0.9,7865,6.7,0.9,40
20210414-144358,7834,6.7,0.9,7865,13.3,0.9,40
20210414-144403,7834,60.0,0.9,7865,66.7,0.9,52
20210414-144408,7834,60.0,0.9,7865,46.7,0.9,196
20210414-144414,7834,60.0,0.9,7865,60.0,0.9,500
20210414-144419,7834,60.0,0.9,7865,60.0,0.9,104
20210414-144424,7834,60.0,0.9,7865,80.0,0.9,60
20210414-144430,7834,66.7,0.9,7865,60.0,0.9,44
20210414-144435,7834,6.7,0.9,7865,13.3,0.9,40
20210414-144440,7834,0.0,0.9,7865,13.3,0.9,204
20210414-144446,7834,6.7,0.9,7865,6.7,0.9,48
20210414-144451,7834,6.7,0.9,7865,6.2,0.9,472
20210414-144456,7834,6.7,0.9,7865,6.7,0.9,80
20210414-144502,7834,13.3,0.9,7865,0.0,0.9,68
20210414-144507,7834,6.7,0.9,7865,13.3,0.9,192
20210414-144512,7834,60.0,0.9,7865,53.3,0.9,52
20210414-144518,7834,66.7,0.9,7865,60.0,0.9,128
20210414-144523,7834,66.7,0.9,7865,73.3,0.9,580
20210414-144529,7834,66.7,0.9,7865,66.7,0.9,68
20210414-144534,7834,53.3,0.9,7865,60.0,0.9,44
20210414-144539,7834,33.3,0.9,7865,12.5,0.9,196
20210414-144545,7834,6.7,0.9,7865,6.7,0.9,60
20210414-144550,7834,6.7,0.9,7865,0.0,0.9,40
20210414-144555,7834,5.9,0.9,7865,6.7,0.9,108
20210414-144601,7834,13.3,0.9,7865,6.7,0.9,428
20210414-144606,7834,6.2,0.9,7865,6.2,0.9,72
20210414-144611,7834,6.7,0.9,7865,0.0,0.9,168
20210414-144617,7834,60.0,0.9,7865,73.3,0.9,52
20210414-144622,7834,60.0,0.9,7865,66.7,0.9,104
20210414-144627,7834,60.0,0.9,7865,60.0,0.9,40
20210414-144633,7834,80.0,0.9,7865,60.0,0.9,136
20210414-144638,7834,60.0,0.9,7865,66.7,0.9,436
20210414-144644,7834,53.3,0.9,7865,66.7,0.9,196
20210414-144649,7834,0.0,0.9,7865,12.5,0.9,52
20210414-144654,7834,6.2,0.9,7865,6.7,0.9,40
20210414-144700,7834,6.7,0.9,7865,6.7,0.9,308
20210414-144705,7834,0.0,0.9,7865,6.7,0.9,112
20210414-144710,7834,6.7,0.9,7865,6.7,0.9,488
20210414-144716,7834,6.7,0.9,7865,6.7,0.9,68
20210414-144721,7834,60.0,0.9,7865,68.8,0.9,52
20210414-144726,7834,53.3,0.9,7865,66.7,0.9,44
20210414-144732,7834,60.0,0.9,7865,53.3,0.9,40
20210414-144737,7834,66.7,0.9,7865,56.2,0.9,108
20210414-144742,7834,66.7,0.9,7865,66.7,0.9,612
20210414-144748,7834,60.0,0.9,7865,60.0,0.9,84
20210414-144753,7834,6.7,0.9,7865,6.2,0.9,40
20210414-144758,7834,0.0,0.9,7865,6.7,0.9,56
20210414-144804,7834,6.7,0.9,7865,0.0,0.9,988
20210414-144809,7834,6.7,0.9,7865,6.7,0.9,40
20210414-144814,7834,6.2,0.9,7865,6.7,0.9,276
20210414-144820,7834,13.3,0.9,7865,0.0,0.9,444
20210414-144825,7834,6.7,0.9,7865,0.0,0.9,72
20210414-144830,7834,66.7,0.9,7865,60.0,0.9,56
20210414-144836,7834,56.2,0.9,7865,66.7,0.9,76
20210414-144841,7834,53.3,0.9,7865,13.3,0.9,40
20210414-144846,7834,50.0,0.9,7865,60.0,0.9,192
20210414-144852,7834,26.7,0.9,7865,53.3,0.9,120
20210414-144857,7834,6.7,0.9,7865,6.7,0.9,444
20210414-144903,7834,6.7,0.9,7865,6.7,0.9,76
20210414-144908,7834,6.7,0.9,7865,6.7,0.9,40
20210414-144913,7834,6.7,0.9,7865,0.0,0.9,184
20210414-144919,7834,5.9,0.9,7865,0.0,0.9,52
20210414-144924,7834,13.3,0.9,7865,0.0,0.9,120
