timestamp,pid1,cpu1,mem1,pid2,cpu2,mem2,kb_wrtn
20210414-110949,4384,0.0,0.9,4420,0.0,0.8,0
20210414-110954,4384,53.3,0.9,4420,73.3,0.8,116
20210414-111000,4384,73.3,0.9,4420,73.3,0.8,108
20210414-111005,4384,50.0,0.9,4420,53.3,0.8,44
20210414-111011,4384,60.0,0.9,4420,60.0,0.8,560
20210414-111016,4384,66.7,0.9,4420,60.0,0.8,28
20210414-111021,4384,50.0,0.9,4420,66.7,0.8,136
20210414-111027,4384,0.0,0.9,4420,0.0,0.8,68
20210414-111032,4384,0.0,0.9,4420,0.0,0.8,48
20210414-111037,4384,0.0,0.9,4420,0.0,0.8,40
20210414-111043,4384,0.0,0.9,4420,0.0,0.8,564
20210414-111048,4384,0.0,0.9,4420,0.0,0.8,108
20210414-111053,4384,0.0,0.9,4420,0.0,0.8,40
20210414-111059,4384,0.0,0.9,4420,0.0,0.8,60
20210414-111104,4384,60.0,0.9,4420,60.0,0.8,56
20210414-111109,4384,56.2,0.9,4420,56.2,0.8,88
20210414-111115,4384,60.0,0.9,4420,60.0,0.8,64
20210414-111120,4384,53.3,0.9,4420,62.5,0.8,548
20210414-111125,4384,73.3,0.9,4420,73.3,0.8,124
20210414-111131,4384,0.0,0.9,4420,0.0,0.8,60
20210414-111136,4384,0.0,0.9,4420,0.0,0.8,52
20210414-111142,4384,0.0,0.9,4420,0.0,0.8,60
20210414-111147,4384,0.0,0.9,4420,0.0,0.8,392
20210414-111152,4384,0.0,0.9,4420,0.0,0.8,132
20210414-111158,4384,0.0,0.9,4420,0.0,0.8,92
20210414-111203,4384,68.8,0.9,4420,53.3,0.8,72
20210414-111208,4384,60.0,0.9,4420,46.7,0.8,64
20210414-111214,4384,60.0,0.9,4420,73.3,0.8,68
20210414-111219,4384,60.0,0.9,4420,60.0,0.8,352
20210414-111224,4384,60.0,0.9,4420,53.3,0.8,44
20210414-111230,4384,60.0,0.9,4420,56.2,0.8,136
20210414-111235,4384,0.0,0.9,4420,0.0,0.8,68
20210414-111240,4384,0.0,0.9,4420,0.0,0.8,432
20210414-111246,4384,0.0,0.9,4420,0.0,0.8,68
20210414-111251,4384,0.0,0.9,4420,0.0,0.8,80
20210414-111256,4384,0.0,0.9,4420,0.0,0.8,48
20210414-111302,4384,0.0,0.9,4420,0.0,0.8,972
20210414-111307,4384,60.0,0.9,4420,66.7,0.8,56
20210414-111312,4384,60.0,0.9,4420,60.0,0.8,92
20210414-111318,4384,66.7,0.9,4420,60.0,0.8,492
20210414-111323,4384,60.0,0.9,4420,62.5,0.8,40
20210414-111329,4384,53.3,0.9,4420,60.0,0.8,44
20210414-111334,4384,60.0,0.9,4420,53.3,0.8,40
20210414-111339,4384,0.0,0.9,4420,0.0,0.8,60
20210414-111345,4384,0.0,0.9,4420,0.0,0.8,64
20210414-111350,4384,0.0,0.9,4420,0.0,0.8,496
20210414-111355,4384,0.0,0.9,4420,0.0,0.8,76
20210414-111401,4384,0.0,0.9,4420,0.0,0.8,48
20210414-111406,4384,0.0,0.9,4420,0.0,0.8,40
20210414-111411,4384,60.0,0.9,4420,53.3,0.8,76
20210414-111417,4384,60.0,0.9,4420,60.0,0.8,44
20210414-111422,4384,62.5,0.9,4420,66.7,0.8,64
20210414-111427,4384,52.9,0.9,4420,66.7,0.8,500
20210414-111433,4384,60.0,0.9,4420,66.7,0.8,104
20210414-111438,4384,66.7,0.9,4420,60.0,0.8,60
20210414-111443,4384,0.0,0.9,4420,0.0,0.8,68
20210414-111449,4384,0.0,0.9,4420,0.0,0.8,44
20210414-111454,4384,0.0,0.9,4420,0.0,0.8,40
20210414-111459,4384,0.0,0.9,4420,0.0,0.8,104
20210414-111505,4384,0.0,0.9,4420,0.0,0.8,556
20210414-111510,4384,0.0,0.9,4420,0.0,0.8,56
20210414-111515,4384,66.7,0.9,4420,66.7,0.8,80
20210414-111521,4384,60.0,0.9,4420,66.7,0.8,56
20210414-111526,4384,60.0,0.9,4420,53.3,0.8,524
20210414-111532,4384,60.0,0.9,4420,60.0,0.8,40
20210414-111537,4384,53.3,0.9,4420,60.0,0.8,360
20210414-111542,4384,66.7,0.9,4420,0.0,0.8,56
20210414-111548,4384,0.0,0.9,4420,0.0,0.8,52
20210414-111553,4384,0.0,0.9,4420,0.0,0.8,40
20210414-111558,4384,0.0,0.9,4420,0.0,0.8,40
20210414-111604,4384,0.0,0.9,4420,0.0,0.8,40
20210414-111609,4384,0.0,0.9,4420,0.0,0.8,92
20210414-111614,4384,62.5,0.9,4420,60.0,0.8,520
20210414-111620,4384,60.0,0.9,4420,60.0,0.8,76
20210414-111625,4384,60.0,0.9,4420,60.0,0.8,380
20210414-111630,4384,60.0,0.9,4420,60.0,0.8,60
20210414-111636,4384,56.2,0.9,4420,68.8,0.8,40
20210414-111641,4384,53.3,0.9,4420,53.3,0.8,360
20210414-111647,4384,0.0,0.9,4420,0.0,0.8,60
20210414-111652,4384,0.0,0.9,4420,0.0,0.8,52
20210414-111657,4384,0.0,0.9,4420,0.0,0.8,44
20210414-111702,4384,0.0,0.9,4420,0.0,0.8,40
20210414-111708,4384,0.0,0.9,4420,0.0,0.8,84
20210414-111713,4384,0.0,0.9,4420,0.0,0.8,64
20210414-111718,4384,60.0,0.9,4420,60.0,0.8,684
20210414-111724,4384,60.0,0.9,4420,60.0,0.8,44
20210414-111729,4384,60.0,0.9,4420,53.3,0.8,40
20210414-111735,4384,66.7,0.9,4420,60.0,0.8,44
20210414-111740,4384,66.7,0.9,4420,66.7,0.8,56
20210414-111745,4384,60.0,0.9,4420,60.0,0.8,44
20210414-111751,4384,0.0,0.9,4420,0.0,0.8,456
20210414-111756,4384,0.0,0.9,4420,0.0,0.8,108
20210414-111801,4384,0.0,0.9,4420,0.0,0.8,992
20210414-111807,4384,0.0,0.9,4420,0.0,0.8,40
20210414-111812,4384,0.0,0.9,4420,0.0,0.8,64
20210414-111817,4384,0.0,0.9,4420,0.0,0.8,44
20210414-111823,4384,53.3,0.9,4420,60.0,0.8,56
20210414-111828,4384,60.0,0.9,4420,56.2,0.8,516
20210414-111833,4384,60.0,0.9,4420,60.0,0.8,40
20210414-111839,4384,66.7,0.9,4420,53.3,0.8,60
20210414-111844,4384,60.0,0.9,4420,80.0,0.8,64
20210414-111849,4384,53.3,0.9,4420,73.3,0.8,44
20210414-111855,4384,0.0,0.9,4420,0.0,0.8,40
20210414-111900,4384,0.0,0.9,4420,0.0,0.8,488
20210414-111906,4384,0.0,0.9,4420,0.0,0.8,84
20210414-111911,4384,0.0,0.9,4420,0.0,0.8,56
20210414-111916,4384,0.0,0.9,4420,0.0,0.8,100
20210414-111922,4384,0.0,0.9,4420,0.0,0.8,56
20210414-111927,4384,60.0,0.9,4420,60.0,0.8,56
20210414-111932,4384,53.3,0.9,4420,53.3,0.8,440
20210414-111938,4384,66.7,0.9,4420,53.3,0.8,84
