timestamp,pid1,cpu1,mem1,pid2,cpu2,mem2,kb_wrtn
20210414-125630,4384,0.0,0.9,4420,0.0,0.9,0
20210414-125635,4384,0.0,0.9,4420,0.0,0.9,100
20210414-125640,4384,66.7,0.9,4420,66.7,0.9,60
20210414-125646,4384,53.3,0.9,4420,66.7,0.9,44
20210414-125651,4384,66.7,0.9,4420,60.0,0.9,64
20210414-125656,4384,60.0,0.9,4420,50.0,0.9,428
20210414-125702,4384,60.0,0.9,4420,66.7,0.9,160
20210414-125707,4384,53.3,0.9,4420,80.0,0.9,72
20210414-125713,4384,0.0,0.9,4420,0.0,0.9,416
20210414-125718,4384,0.0,0.9,4420,0.0,0.9,76
20210414-125723,4384,0.0,0.9,4420,0.0,0.9,44
20210414-125729,4384,0.0,0.9,4420,0.0,0.9,40
20210414-125734,4384,0.0,0.9,4420,0.0,0.9,40
20210414-125739,4384,0.0,0.9,4420,0.0,0.9,44
20210414-125745,4384,6.7,0.9,4420,6.2,0.9,104
20210414-125750,4384,60.0,0.9,4420,66.7,0.9,500
20210414-125755,4384,53.3,0.9,4420,53.3,0.9,44
20210414-125801,4384,60.0,0.9,4420,60.0,0.9,1300
20210414-125806,4384,66.7,0.9,4420,53.3,0.9,52
20210414-125811,4384,56.2,0.9,4420,60.0,0.9,40
20210414-125817,4384,0.0,0.9,4420,6.7,0.9,40
20210414-125822,4384,0.0,0.9,4420,0.0,0.9,52
20210414-125827,4384,0.0,0.9,4420,0.0,0.9,40
20210414-125833,4384,0.0,0.9,4420,0.0,0.9,480
20210414-125838,4384,0.0,0.9,4420,0.0,0.9,120
20210414-125843,4384,0.0,0.9,4420,0.0,0.9,56
20210414-125849,4384,0.0,0.9,4420,0.0,0.9,44
20210414-125854,4384,60.0,0.9,4420,53.3,0.9,56
20210414-125859,4384,60.0,0.9,4420,66.7,0.9,380
20210414-125905,4384,66.7,0.9,4420,56.2,0.9,68
20210414-125910,4384,60.0,0.9,4420,66.7,0.9,128
20210414-125916,4384,53.3,0.9,4420,60.0,0.9,48
20210414-125921,4384,53.3,0.9,4420,60.0,0.9,52
20210414-125926,4384,6.7,0.9,4420,0.0,0.9,400
20210414-125932,4384,0.0,0.9,4420,0.0,0.9,92
20210414-125937,4384,0.0,0.9,4420,0.0,0.9,40
20210414-125942,4384,0.0,0.9,4420,0.0,0.9,40
20210414-125948,4384,0.0,0.9,4420,0.0,0.9,440
20210414-125953,4384,0.0,0.9,4420,0.0,0.9,64
20210414-125958,4384,0.0,0.9,4420,0.0,0.9,40
20210414-130004,4384,66.7,0.9,4420,60.0,0.9,60
20210414-130009,4384,60.0,0.9,4420,60.0,0.9,40
20210414-130014,4384,60.0,0.9,4420,53.3,0.9,40
20210414-130020,4384,53.3,0.9,4420,62.5,0.9,60
20210414-130025,4384,60.0,0.9,4420,53.3,0.9,608
20210414-130030,4384,0.0,0.9,4420,0.0,0.9,40
20210414-130036,4384,0.0,0.9,4420,0.0,0.9,48
20210414-130041,4384,0.0,0.9,4420,0.0,0.9,40
20210414-130046,4384,0.0,0.9,4420,0.0,0.9,64
20210414-130052,4384,0.0,0.9,4420,0.0,0.9,44
20210414-130057,4384,0.0,0.9,4420,0.0,0.9,488
20210414-130102,4384,0.0,0.9,4420,0.0,0.9,84
20210414-130108,4384,60.0,0.9,4420,60.0,0.9,272
20210414-130113,4384,60.0,0.9,4420,60.0,0.9,76
20210414-130119,4384,56.2,0.9,4420,60.0,0.9,52
20210414-130124,4384,60.0,0.9,4420,66.7,0.9,44
20210414-130129,4384,56.2,0.9,4420,66.7,0.9,44
20210414-130135,4384,53.3,0.9,4420,53.3,0.9,444
20210414-130140,4384,0.0,0.9,4420,0.0,0.9,72
20210414-130145,4384,0.0,0.9,4420,0.0,0.9,40
20210414-130151,4384,0.0,0.9,4420,0.0,0.9,60
20210414-130156,4384,0.0,0.9,4420,0.0,0.9,40
20210414-130201,4384,0.0,0.9,4420,0.0,0.9,40
20210414-130207,4384,0.0,0.9,4420,0.0,0.9,488
20210414-130212,4384,46.7,0.9,4420,56.2,0.9,88
20210414-130217,4384,53.3,0.9,4420,66.7,0.9,60
20210414-130223,4384,60.0,0.9,4420,56.2,0.9,68
20210414-130228,4384,50.0,0.9,4420,53.3,0.9,40
20210414-130233,4384,66.7,0.9,4420,73.3,0.9,496
20210414-130239,4384,56.2,0.9,4420,60.0,0.9,40
20210414-130244,4384,0.0,0.9,4420,0.0,0.9,40
20210414-130250,4384,0.0,0.9,4420,0.0,0.9,56
20210414-130255,4384,0.0,0.9,4420,0.0,0.9,40
20210414-130300,4384,0.0,0.9,4420,0.0,0.9,60
20210414-130306,4384,0.0,0.9,4420,0.0,0.9,1432
20210414-130311,4384,0.0,0.9,4420,0.0,0.9,96
20210414-130316,4384,0.0,0.9,4420,0.0,0.9,48
20210414-130322,4384,60.0,0.9,4420,60.0,0.9,60
20210414-130327,4384,60.0,0.9,4420,66.7,0.9,40
20210414-130332,4384,53.3,0.9,4420,66.7,0.9,48
20210414-130338,4384,66.7,0.9,4420,56.2,0.9,52
20210414-130343,4384,60.0,0.9,4420,66.7,0.9,488
20210414-130348,4384,73.3,0.9,4420,0.0,0.9,84
20210414-130354,4384,0.0,0.9,4420,0.0,0.9,48
20210414-130359,4384,0.0,0.9,4420,0.0,0.9,392
20210414-130404,4384,0.0,0.9,4420,0.0,0.9,76
