timestamp,pid1,cpu1,mem1,pid2,cpu2,mem2,kb_wrtn
20210414-150551,17892,0.0,0.8,17922,0.0,0.8,0
20210414-150556,17892,0.0,0.8,17922,0.0,0.8,52
20210414-150602,17892,66.7,0.9,17922,33.3,0.8,72
20210414-150607,17892,37.5,0.9,17922,20.0,0.8,39772
20210414-150612,17892,53.3,0.9,17922,46.7,0.8,552
20210414-150618,17892,46.7,0.9,17922,60.0,0.8,47780
20210414-150623,17892,20.0,0.9,17922,20.0,0.8,219836
20210414-150629,17892,33.3,0.9,17922,13.3,0.8,9796
20210414-150634,17892,0.0,0.9,17922,0.0,0.8,68
20210414-150639,17892,0.0,0.9,17922,0.0,0.8,56
20210414-150645,17892,0.0,0.9,17922,0.0,0.8,36
20210414-150650,17892,0.0,0.9,17922,0.0,0.8,4536
20210414-150655,17892,0.0,0.9,17922,0.0,0.8,47524
20210414-150700,17892,0.0,0.9,17922,0.0,0.8,16
20210414-150706,17892,26.7,0.9,17922,13.3,0.8,44
20210414-150711,17892,13.3,0.9,17922,53.3,0.8,124
20210414-150717,17892,60.0,0.9,17922,80.0,0.8,60
20210414-150722,17892,53.3,0.9,17922,53.3,0.8,56
20210414-150727,17892,46.7,0.9,17922,26.7,0.8,81624
20210414-150733,17892,40.0,0.9,17922,18.8,0.8,219956
20210414-150738,17892,0.0,0.9,17922,0.0,0.8,56
20210414-150743,17892,0.0,0.9,17922,0.0,0.8,68
20210414-150749,17892,0.0,0.9,17922,0.0,0.8,36
20210414-150754,17892,0.0,0.9,17922,0.0,0.8,36
20210414-150759,17892,0.0,0.9,17922,0.0,0.8,10072
20210414-150805,17892,0.0,0.9,17922,0.0,0.8,42752
20210414-150810,17892,0.0,0.9,17922,0.0,0.8,56
20210414-150815,17892,80.0,0.9,17922,73.3,0.8,68
20210414-150821,17892,37.5,0.9,17922,20.0,0.8,56
20210414-150826,17892,33.3,0.9,17922,12.5,0.8,76
20210414-150831,17892,20.0,0.9,17922,6.2,0.8,44204
20210414-150837,17892,13.3,0.9,17922,12.5,0.8,221976
20210414-150842,17892,13.3,0.9,17922,0.0,0.8,120
20210414-150847,17892,0.0,0.9,17922,0.0,0.8,56
20210414-150853,17892,0.0,0.9,17922,0.0,0.8,72
20210414-150858,17892,0.0,0.9,17922,0.0,0.8,36
20210414-150903,17892,0.0,0.9,17922,0.0,0.8,3068
20210414-150909,17892,0.0,0.9,17922,0.0,0.8,23888
20210414-150914,17892,0.0,0.9,17922,0.0,0.8,132
20210414-150919,17892,26.7,0.9,17922,6.7,0.8,132
20210414-150925,17892,25.0,0.9,17922,13.3,0.8,60
20210414-150930,17892,62.5,0.9,17922,80.0,0.8,56
20210414-150936,17892,40.0,0.9,17922,20.0,0.8,56
20210414-150941,17892,33.3,0.9,17922,37.5,0.8,49164
20210414-150946,17892,33.3,0.9,17922,20.0,0.8,204368
20210414-150952,17892,6.7,0.9,17922,0.0,0.8,72
