[13:34:55.330] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 722, meta.millisecs = 0, meta.microsecs = 0, time_diff = 0, curr_tstamp = 48486884, prev_tstamp = 0, diff_repr = 0, milli_hex = 0, micro_hex = 0
[13:34:55.331] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 7962, meta.millisecs = 0, meta.microsecs = 0, time_diff = 0, curr_tstamp = 48488049, prev_tstamp = 0, diff_repr = 0, milli_hex = 0, micro_hex = 0
[13:34:55.335] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 722, meta.millisecs = 4, meta.microsecs = 561, time_diff = 4657, curr_tstamp = 48491541, prev_tstamp = 48486884, diff_repr = 72, milli_hex = 4, micro_hex = 8
[13:34:55.336] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 722, meta.millisecs = 0, meta.microsecs = 854, time_diff = 854, curr_tstamp = 48492395, prev_tstamp = 48491541, diff_repr = 13, milli_hex = 0, micro_hex = 13
[13:34:55.337] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 7962, meta.millisecs = 5, meta.microsecs = 128, time_diff = 5248, curr_tstamp = 48493297, prev_tstamp = 48488049, diff_repr = 82, milli_hex = 5, micro_hex = 2
[13:34:55.337] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 7962, meta.millisecs = 0, meta.microsecs = 74, time_diff = 74, curr_tstamp = 48493371, prev_tstamp = 48493297, diff_repr = 1, milli_hex = 0, micro_hex = 1
[13:34:55.340] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 722, meta.millisecs = 4, meta.microsecs = 493, time_diff = 4589, curr_tstamp = 48496984, prev_tstamp = 48492395, diff_repr = 71, milli_hex = 4, micro_hex = 7
[13:34:55.341] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 722, meta.millisecs = 0, meta.microsecs = 458, time_diff = 458, curr_tstamp = 48497442, prev_tstamp = 48496984, diff_repr = 7, milli_hex = 0, micro_hex = 7
[13:34:55.385] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 7962, meta.millisecs = 47, meta.microsecs = 410, time_diff = 48538, curr_tstamp = 48541909, prev_tstamp = 48493371, diff_repr = 246, milli_hex = 15, micro_hex = 6
[13:34:55.390] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 722, meta.millisecs = 48, meta.microsecs = 263, time_diff = 49415, curr_tstamp = 48546857, prev_tstamp = 48497442, diff_repr = 244, milli_hex = 15, micro_hex = 4
[13:34:55.392] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 7962, meta.millisecs = 6, meta.microsecs = 515, time_diff = 6659, curr_tstamp = 48548568, prev_tstamp = 48541909, diff_repr = 104, milli_hex = 6, micro_hex = 8
[13:34:55.393] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 7962, meta.millisecs = 0, meta.microsecs = 336, time_diff = 336, curr_tstamp = 48548904, prev_tstamp = 48548568, diff_repr = 5, milli_hex = 0, micro_hex = 5
[13:34:55.397] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 0, meta.microsecs = 0, time_diff = 0, curr_tstamp = 48554296, prev_tstamp = 0, diff_repr = 0, milli_hex = 0, micro_hex = 0
[13:34:55.398] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 5393, meta.millisecs = 0, meta.microsecs = 0, time_diff = 0, curr_tstamp = 48555151, prev_tstamp = 0, diff_repr = 0, milli_hex = 0, micro_hex = 0
[13:34:55.410] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 11, meta.microsecs = 779, time_diff = 12043, curr_tstamp = 48566339, prev_tstamp = 48554296, diff_repr = 188, milli_hex = 11, micro_hex = 12
[13:34:55.410] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 0, meta.microsecs = 481, time_diff = 481, curr_tstamp = 48566820, prev_tstamp = 48566339, diff_repr = 7, milli_hex = 0, micro_hex = 7
[13:34:55.412] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 5393, meta.millisecs = 12, meta.microsecs = 632, time_diff = 12920, curr_tstamp = 48568071, prev_tstamp = 48555151, diff_repr = 201, milli_hex = 12, micro_hex = 9
[13:34:55.443] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 722, meta.millisecs = 51, meta.microsecs = 237, time_diff = 52461, curr_tstamp = 48599318, prev_tstamp = 48546857, diff_repr = 243, milli_hex = 15, micro_hex = 3
[13:34:55.444] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 7962, meta.millisecs = 50, meta.microsecs = 514, time_diff = 51714, curr_tstamp = 48600618, prev_tstamp = 48548904, diff_repr = 248, milli_hex = 15, micro_hex = 8
[13:34:55.449] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 722, meta.millisecs = 4, meta.microsecs = 918, time_diff = 5014, curr_tstamp = 48604332, prev_tstamp = 48599318, diff_repr = 78, milli_hex = 4, micro_hex = 14
[13:34:55.450] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 37, meta.microsecs = 396, time_diff = 38284, curr_tstamp = 48605104, prev_tstamp = 48566820, diff_repr = 246, milli_hex = 15, micro_hex = 6
[13:34:55.452] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 1, meta.microsecs = 60, time_diff = 1084, curr_tstamp = 48606188, prev_tstamp = 48605104, diff_repr = 16, milli_hex = 1, micro_hex = 0
[13:34:55.452] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 1, meta.microsecs = 105, time_diff = 1129, curr_tstamp = 48607317, prev_tstamp = 48606188, diff_repr = 17, milli_hex = 1, micro_hex = 1
[13:34:55.453] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 0, meta.microsecs = 774, time_diff = 774, curr_tstamp = 48608091, prev_tstamp = 48607317, diff_repr = 12, milli_hex = 0, micro_hex = 12
[13:34:55.453] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 5393, meta.millisecs = 39, meta.microsecs = 435, time_diff = 40371, curr_tstamp = 48608442, prev_tstamp = 48568071, diff_repr = 246, milli_hex = 15, micro_hex = 6
[13:34:55.454] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 1, meta.microsecs = 209, time_diff = 1233, curr_tstamp = 48609324, prev_tstamp = 48608091, diff_repr = 19, milli_hex = 1, micro_hex = 3
[13:34:55.455] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 5393, meta.millisecs = 1, meta.microsecs = 177, time_diff = 1201, curr_tstamp = 48609643, prev_tstamp = 48608442, diff_repr = 18, milli_hex = 1, micro_hex = 2
[13:34:55.456] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 5393, meta.millisecs = 0, meta.microsecs = 155, time_diff = 155, curr_tstamp = 48609798, prev_tstamp = 48609643, diff_repr = 2, milli_hex = 0, micro_hex = 2
[13:34:55.456] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 5393, meta.millisecs = 0, meta.microsecs = 658, time_diff = 658, curr_tstamp = 48610456, prev_tstamp = 48609798, diff_repr = 10, milli_hex = 0, micro_hex = 10
[13:34:55.457] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 1, meta.microsecs = 413, time_diff = 1437, curr_tstamp = 48610761, prev_tstamp = 48609324, diff_repr = 22, milli_hex = 1, micro_hex = 6
[13:34:55.458] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 0, meta.microsecs = 1006, time_diff = 1006, curr_tstamp = 48611767, prev_tstamp = 48610761, diff_repr = 15, milli_hex = 0, micro_hex = 15
[13:34:55.459] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 5393, meta.millisecs = 1, meta.microsecs = 384, time_diff = 1408, curr_tstamp = 48611864, prev_tstamp = 48610456, diff_repr = 22, milli_hex = 1, micro_hex = 6
[13:34:55.459] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 3, meta.microsecs = 29, time_diff = 3101, curr_tstamp = 48614868, prev_tstamp = 48611767, diff_repr = 48, milli_hex = 3, micro_hex = 0
[13:34:55.460] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 5393, meta.millisecs = 3, meta.microsecs = 53, time_diff = 3125, curr_tstamp = 48614989, prev_tstamp = 48611864, diff_repr = 48, milli_hex = 3, micro_hex = 0
[13:34:55.461] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 5393, meta.millisecs = 0, meta.microsecs = 659, time_diff = 659, curr_tstamp = 48615648, prev_tstamp = 48614989, diff_repr = 10, milli_hex = 0, micro_hex = 10
[13:34:55.462] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 0, meta.microsecs = 922, time_diff = 922, curr_tstamp = 48615790, prev_tstamp = 48614868, diff_repr = 14, milli_hex = 0, micro_hex = 14
[13:34:55.463] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 5393, meta.millisecs = 1, meta.microsecs = 382, time_diff = 1406, curr_tstamp = 48617054, prev_tstamp = 48615648, diff_repr = 21, milli_hex = 1, micro_hex = 5
[13:34:55.464] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 1, meta.microsecs = 985, time_diff = 2009, curr_tstamp = 48617799, prev_tstamp = 48615790, diff_repr = 31, milli_hex = 1, micro_hex = 15
[13:34:55.465] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 1365, meta.millisecs = 0, meta.microsecs = 962, time_diff = 962, curr_tstamp = 48618761, prev_tstamp = 48617799, diff_repr = 15, milli_hex = 0, micro_hex = 15
[13:34:55.466] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 5393, meta.millisecs = 2, meta.microsecs = 145, time_diff = 2193, curr_tstamp = 48619247, prev_tstamp = 48617054, diff_repr = 34, milli_hex = 2, micro_hex = 2
[13:34:55.467] [bmv2] [I] [thread 23399] TIMESTAMPING: flow_hash = 5393, meta.millisecs = 2, meta.microsecs = 965, time_diff = 3013, curr_tstamp = 48622260, prev_tstamp = 48619247, diff_repr = 47, milli_hex = 2, micro_hex = 15
